"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Acara spesial","reviewContext/Aksesibilitas kursi roda","reviewContext/Batasan diet","reviewContext/Jenis makanan","reviewContext/Jenis pesanan","reviewContext/Jenis tempat duduk","reviewContext/Kesesuaian untuk anak-anak","reviewContext/Opsi tempat parkir","reviewContext/Pantangan makanan diakomodasi","reviewContext/Parkir","reviewContext/Penawaran spesial","reviewContext/Pilihan menu vegetarian","reviewContext/Rekomendasi hidangan","reviewContext/Reservasi","reviewContext/Tarif per orang","reviewContext/Tempat parkir","reviewContext/Tingkat kebisingan","reviewContext/Ukuran grup","reviewContext/Waktu tunggu","reviewContext/Yang perlu ditingkatkan","reviewDetailedRating/Layanan","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Batagor Rian","5","batagor nya wuenak, hrg ramah di kantong, si emang nya juga ramah","2023-02-02T08:03:09.991Z","0","Mugi Antri","1","false",,,"id","3 tahun lalu",,,,,,,,,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNod0tEV3dnRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNod0tEV3dnRRAB!2m1!1s0x0:0x8ef09b4989997892!3m1!1s2@1:CIHM0ogKEICAgIChwKDWwgE%7C%7C?hl=id","100831104789411708278","https://lh3.googleusercontent.com/a-/ALV-UjW-bZQ4dCl-OCyecZMx7UV8eM2IX3x3T7GAHaLYFukNmGIAj-3W=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/100831104789411708278/reviews?hl=id",,"id",
"Batagor Rian","5","Makasin komenannya semua .bagi yg blom manpir silahkan maampir heehee","2023-02-02T07:25:48.114Z","0","black bsc","1","false",,,"id","3 tahun lalu",,,,,,,,,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNoZ0wycE1nEAE",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoZ0wycE1nEAE!2m1!1s0x0:0x8ef09b4989997892!3m1!1s2@1:CIHM0ogKEICAgIChgL2pMg%7C%7C?hl=id","117445134667336760365","https://lh3.googleusercontent.com/a-/ALV-UjVmAMvhws_zeBLUKmQar35_iFI5BKXvmjLTFNdiiSCo8TaQivSr=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/117445134667336760365/reviews?hl=id",,"id",
"Batagor Rian","5","Ak jg mw","2022-08-07T15:47:11.502Z","0","yovie sandhika p","3","false",,,"ht","3 tahun lalu",,,,,,,,,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUN1aDR5UE9REAE",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1aDR5UE9REAE!2m1!1s0x0:0x8ef09b4989997892!3m1!1s2@1:CIHM0ogKEICAgICuh4yPOQ%7C%7C?hl=id","102860673874849554954","https://lh3.googleusercontent.com/a-/ALV-UjU9W3zSjZLipd2xsxPjTOAE9YnHfst9YkdCEHubQaecSf1zgTV5=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/102860673874849554954/reviews?hl=id","Dan permainanku","id",
"Batagor Rian","5","","2021-09-05T08:37:21.950Z","0","Aldi Prihadi","177","true",,,"","4 tahun lalu",,,,,,,,,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUM2bnVfUC1nRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM2bnVfUC1nRRAB!2m1!1s0x0:0x8ef09b4989997892!3m1!1s2@1:CIHM0ogKEICAgIC6nu_P-gE%7C%7C?hl=id","108586730091423094637","https://lh3.googleusercontent.com/a/ACg8ocJSW07pT6j30DTIFIkm_htOX4TvHaT9k_G1Mvcskq5jLModYMly=s64-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/108586730091423094637/reviews?hl=id",,"id",
"Batagor Rian","4","murah meriah dan enak, seporsi cuma 10rb, setengah porsi juga bisa, 6rb. Bisa pilih batagor kuah atau pake bumbu kacang seperti biasa. Sayangnya belum ada pangsit, tahunya aja. Tapi enak sih di sini.","2020-08-08T12:29:58.278Z","0","rizal","86","true",,,"id","5 tahun lalu",,,,,,,,,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNDc0l2UXVBRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDc0l2UXVBRRAB!2m1!1s0x0:0x8ef09b4989997892!3m1!1s2@1:CIHM0ogKEICAgICCsIvQuAE%7C%7C?hl=id","112523259855347016795","https://lh3.googleusercontent.com/a/ACg8ocK0pgHNv8R2lLCvZBsnOZSyxj1kfGZmKTT0TYAl6uP7wL6k5pg=s64-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/112523259855347016795/reviews?hl=id",,"id",
"Seblak mamah saleh","5","","2026-06-16T13:58:21.180Z","0","M.Eka Nugraha","1","false",,,"","2 hari lalu",,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT201WlpIaGlUSEF4WTFsVFgwdzJTRFpST0RoMlZVRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201WlpIaGlUSEF4WTFsVFgwdzJTRFpST0RoMlZVRRAB!2m1!1s0x0:0x86050109d608a67e!3m1!1s2@1:CAIQACodChtycF9oOm5ZZHhiTHAxY1lTX0w2SDZRODh2VUE%7C%7C?hl=id","102936522564257475526","https://lh3.googleusercontent.com/a/ACg8ocIxKlt_DDyPnz6zuR8s35dcdUOB8Grt7qW9lRnIsm4Q9NiZHA=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/102936522564257475526/reviews?hl=id",,"id",
"Seblak mamah saleh","5","","2026-06-16T09:59:04.621Z","0","Anti Rahmawati","2","false",,,"","2 hari lalu",,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xkaFJDMDVRVzFqVUhWU1EyUXhVVFZYU0V4Q1gyYxAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkaFJDMDVRVzFqVUhWU1EyUXhVVFZYU0V4Q1gyYxAB!2m1!1s0x0:0x86050109d608a67e!3m1!1s2@1:CAIQACodChtycF9oOldhRC05QW1jUHVSQ2QxUTVXSExCX2c%7C%7C?hl=id","116490591754838993560","https://lh3.googleusercontent.com/a-/ALV-UjULFVTD6Il3QWdz6l_nrKMwMbs90hnEFdjaKo_6TLbDQiSSIi8=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/116490591754838993560/reviews?hl=id",,"id",
"Seblak mamah saleh","5","","2026-06-16T02:48:30.905Z","0","YuZi Channel","64","true",,,"","3 hari lalu",,,,,,"Makan di tempat",,,,,,,,,,"Rp 25–50 rb",,"Ramai, tetapi Anda masih dapat bicara",,"30-60 mnt",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xRelYyOUNNRXhLV25SdU9Ga3daMmxYZDJWeGRWRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xRelYyOUNNRXhLV25SdU9Ga3daMmxYZDJWeGRWRRAB!2m1!1s0x0:0x86050109d608a67e!3m1!1s2@1:CAIQACodChtycF9oOlQzV29CMExKWnRuOFkwZ2lXd2VxdVE%7C%7C?hl=id","117779237533251233990","https://lh3.googleusercontent.com/a-/ALV-UjWFtz2KDe4DlUwrtjN_q8ufdTRYy0t5bmy53BGIBRqIMXKar63Z=s64-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/117779237533251233990/reviews?hl=id",,"id",
"Seblak mamah saleh","5","","2026-06-11T08:26:34.396Z","0","Adik Kamil","0","false",,,"","seminggu lalu",,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25veWVXNWtXSFpoTjJoQk1tcHNSbGxOUm5wWk5GRRAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25veWVXNWtXSFpoTjJoQk1tcHNSbGxOUm5wWk5GRRAB!2m1!1s0x0:0x86050109d608a67e!3m1!1s2@1:CAIQACodChtycF9oOnoyeW5kWHZhN2hBMmpsRllNRnpZNFE%7C%7C?hl=id","105122208190097313082","https://lh3.googleusercontent.com/a/ACg8ocKwIU74Cdyfd8StsaYU7EWaMNAw-_W6CLL9m1V8C4sN_Xk3Fw=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/105122208190097313082/reviews?hl=id",,"id",
"Seblak mamah saleh","5","","2026-06-09T19:41:12.484Z","0","Agil Husaini","5","false",,,"","seminggu lalu",,,,,,"Makan di tempat",,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21SUU1FZDJSbXBZYW5KRFlUbE9SSFJwTWpaSGVXYxAB",,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SUU1FZDJSbXBZYW5KRFlUbE9SSFJwTWpaSGVXYxAB!2m1!1s0x0:0x86050109d608a67e!3m1!1s2@1:CAIQACodChtycF9oOmRQMEd2RmpYanJDYTlORHRpMjZHeWc%7C%7C?hl=id","109085458381298984352","https://lh3.googleusercontent.com/a-/ALV-UjWItdAdCu621MomWfeag1LpLd73p2HzdMPo0ZTz31pCxD4lL-k=s64-c-rp-mo-br100","https://www.google.com/maps/contrib/109085458381298984352/reviews?hl=id",,"id",
