"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Gaya yang diminta","reviewContext/Harga","reviewContext/Jenis rambut","reviewContext/Keahlian khusus","reviewContext/Layanan","reviewContext/Negatif","reviewContext/Penata gaya","reviewContext/Positif","reviewDetailedRating/Layanan","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Sawargi Salon Mobil panggilan Bandung","5","Hasil nya kinclong & Bersih  ga sia"" Salon mobil di @sawargisalonmobilpanggilanbandung 👍","2024-12-13T11:29:28.293Z","0","dea lestari","1","false",,,"id","setahun lalu",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUN2amNEaU93EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN2amNEaU93EAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgICvjcDiOw%7C%7C?hl=id","116072580454257149350","https://lh3.googleusercontent.com/a/ACg8ocK3s9slTMW115p6I_CrGaK-brtqLKBiguHzmu1BpUKl6BZZlg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116072580454257149350?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","pengerjaan detail & Bersih","2024-12-25T08:31:40.885Z","0","Iam Maryam","2","false",,,"id","setahun lalu",,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUR2ei1ILXdBRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR2ei1ILXdBRRAB!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgIDvz-H-wAE%7C%7C?hl=id","103671694428547431810","https://lh3.googleusercontent.com/a/ACg8ocL0woHdK9Bi7AAcdacj6h8p_rjfu1i5pUIf8keneJpbdpp6Ew=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103671694428547431810?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","Mantapp bossquu...","2025-01-22T11:15:25.276Z","0","Desy Bahar","1","false",,,"id","setahun lalu",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURfbko2QkZ3EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfbko2QkZ3EAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgID_nJ6BFw%7C%7C?hl=id","116971798531713696702","https://lh3.googleusercontent.com/a-/ALV-UjVrYbYOy_I0Dx8c-qvyd40BAwSSLak3iz61tXn7BGqlYxZYFOk=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116971798531713696702?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","Bagus","2025-01-22T17:32:09.648Z","0","Rival Faisal","2","false",,,"id","setahun lalu",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURfZ3RTYktREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfZ3RTYktREAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgID_gtSbKQ%7C%7C?hl=id","111442282860566201454","https://lh3.googleusercontent.com/a-/ALV-UjWqNbbrpmC1sG3M6DmsFbxu0B0_7FF7kcnqbTlhqEGjx455xZw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111442282860566201454?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5",,"2025-11-25T11:26:13.264Z","0","Riky Wahyudi","0","false",,,,"7 bulan lalu",,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21SV1dsTnBlbFJtTkRBM1MyaFRaV3hIZFY4elduYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SV1dsTnBlbFJtTkRBM1MyaFRaV3hIZFY4elduYxAB!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CAIQACodChtycF9oOmRWWlNpelRmNDA3S2hTZWxHdV8zWnc%7C%7C?hl=id","107013359453685781239","https://lh3.googleusercontent.com/a/ACg8ocIgn4dDsNTXvaQaXr5IGKHbQcLIU6AMVOayObbiKXJNW-ng4A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107013359453685781239?hl=id",,,
"Blinkz Beauty Lash Bandung","5","Bisa home service, ga nusuk rapih juga recommended","2024-05-09T07:07:23.187Z","0","Sofiemss","5","false",,,"id","2 tahun lalu",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURqbjRQbE53EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURqbjRQbE53EAE!2m1!1s0x0:0x197ccf37b7eaa836!3m1!1s2@1:CIHM0ogKEICAgIDjn4PlNw%7C%7C?hl=id","105068696673619964166","https://lh3.googleusercontent.com/a-/ALV-UjUMm0mFOpQfuTnUR2a8E4-B9dwn7LzWavdwOWxqVcVh0rROLQn35g=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105068696673619964166?hl=id",,,
"Rey Salon","5","Bersih, murah, nyaman","2022-01-05T08:25:37.260Z","0","sumiyati sumi","20","true",,,"id","4 tahun lalu",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNtOWJHWFlREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNtOWJHWFlREAE!2m1!1s0x0:0xc6faf0123858943!3m1!1s2@1:CIHM0ogKEICAgICm9bGXYQ%7C%7C?hl=id","105324424787764088997","https://lh3.googleusercontent.com/a-/ALV-UjV7sabjvjt4hTZWvgq81L-GBBOlF-25cFkGmu5ZsXKG-6mhy0G1=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/105324424787764088997?hl=id",,,
"Rey Salon","5",,"2024-09-11T23:20:58.425Z","0","Ooman Store","2","false",,,,"setahun lalu",,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURIcU9MazB3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIcU9MazB3RRAB!2m1!1s0x0:0xc6faf0123858943!3m1!1s2@1:CIHM0ogKEICAgIDHqOLk0wE%7C%7C?hl=id","118280909493582003984","https://lh3.googleusercontent.com/a-/ALV-UjVAjeAlYH7uFDhCi_cD7ooHuGsUqEC8937QxuTOkftE_s8IxJBV=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/118280909493582003984?hl=id",,,
"Rey Salon","5",,"2021-11-29T04:41:31.109Z","0","Khanza Zara Adeline","3","false",,,,"4 tahun lalu",,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURHbnNHcW5nRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHbnNHcW5nRRAB!2m1!1s0x0:0xc6faf0123858943!3m1!1s2@1:CIHM0ogKEICAgIDGnsGqngE%7C%7C?hl=id","115409645793495842770","https://lh3.googleusercontent.com/a-/ALV-UjXoNLaSBZ-vDKWRxJUqhuqzEhPaZPbbwniYGCB7SepE_eRNBuG9aQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115409645793495842770?hl=id",,,
"Rey Salon","5",,"2021-03-29T03:32:05.397Z","0","Diana Mega","4","false",,,,"5 tahun lalu",,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNLNUlEWDF3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLNUlEWDF3RRAB!2m1!1s0x0:0xc6faf0123858943!3m1!1s2@1:CIHM0ogKEICAgICK5IDX1wE%7C%7C?hl=id","101476960929014222298","https://lh3.googleusercontent.com/a-/ALV-UjWIdlNHsWVHF5Kivl6TYtNFkIljuP3ZlTVDteEQWZqF3haN7LeU=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101476960929014222298?hl=id",,,
