"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Sawargi Salon Mobil panggilan Bandung","5","10","Jl. Jatihandap, RT.03/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 822-9506-5206","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sawargi%20Salon%20Mobil%20panggilan%20Bandung&query_place_id=ChIJYWm_i8vnaC4RYd-_Og79ihs","Bengkel Mobil"
"Auto Service","3","1","Jl. KH. Wahid Hasyim No.448","Kota Bandung","Jawa Barat","ID",,"+62 22 78196610","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Auto%20Service&query_place_id=ChIJZ_UK98foaC4ROZO1UdHC67Y","Bengkel Mobil"
"Gito Motor Jatihandap","4.4","14","4M46+73X, Jl. Jatihandap","Kota Bandung","Jawa Barat","ID",,"+62 22 7236020","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gito%20Motor%20Jatihandap&query_place_id=ChIJs2wHn4XnaC4RO3k8niyO56Y","Bengkel Sepeda Motor"
"Bengkel Custom",,,"3PX3+WV6, Jl. Cinangka","Kota Bandung","Jawa Barat","ID",,"+62 813-9399-9385","Bengkel Ketok Magic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Custom&query_place_id=ChIJfd1VpcvdaC4RFX_FzhqPZYI","Bengkel Ketok Magic"
"Pool Bus Harum Group","4","1","Jl. Padasuka No.29","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mesin Diesel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pool%20Bus%20Harum%20Group&query_place_id=ChIJA8bL25PnaC4Ro7x9NZ1lWZU","Bengkel Mesin Diesel"
"Bengkel Piper Pirodo","5","13","Jl. Cicabe","Kota Bandung","Jawa Barat","ID",,"+62 818-0940-9481","Bengkel Sepeda Motor","Bengkel Rem",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Piper%20Pirodo&query_place_id=ChIJJWX3oDznaC4Ro6XSHn3HEGI","Bengkel Sepeda Motor"
"Fick Autocar","4","4","Jl. Padasuka No.17","Kota Bandung","Jawa Barat","ID",,"+62 822-4072-2302","Bengkel Jok Kursi Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fick%20Autocar&query_place_id=ChIJ620DeKDnaC4RGQAfu5ITM7U","Bengkel Jok Kursi Mobil"
"HS 69 Bengkel Mobil Motor",,,"Jl. Cinangka No.155","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HS%2069%20Bengkel%20Mobil%20Motor&query_place_id=ChIJve0YBQDdaC4RTANWGxfidGI","Bengkel Mobil"
"ROCKRACK OVERLAND (SPESIALIS ROOFTENT)","5","8","Jl. Tanjakan Panjang No.12","Kota Bandung","Jawa Barat","ID","https://drive.google.com/file/d/1HNlGaLxT9ezxMYjx9BuzncQzQYVq5NuN/view?usp=sharing","+62 812-2300-655","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ROCKRACK%20OVERLAND%20(SPESIALIS%20ROOFTENT)&query_place_id=ChIJo0U8HN_daC4RgNMVQx7-GZ0","Bengkel Mobil"
"Bengkel vespa Haji Kobur ttaj","5","1","Jl. Jamaras I Gg. Jamaras No.1","Kota Bandung","Jawa Barat","ID",,"+62 878-3111-1685","Bengkel Bongkar Pasang Mesin",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20vespa%20Haji%20Kobur%20ttaj&query_place_id=ChIJ7cWvaZvnaC4R8w0Pc6C8CW0","Bengkel Bongkar Pasang Mesin"
