"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Bengkel Motor Dmn KRW MOTOR","3.3","3","Jl. Khp Hasan Mustopa No.152","Kota Bandung","Jawa Barat","ID",,"+62 856-2431-1713","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Dmn%20KRW%20MOTOR&query_place_id=ChIJq0wX4JXnaC4RmOHzfHZtp-Q","Bengkel Motor Skuter"
"BENGKEL MOTOR USEP",,,"Jl. Jamaras III Jl. Jatihandap No.117, RT.04/RW.02","Kabupaten Bandung","Jawa Barat","ID",,"+62 896-0442-5908","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20USEP&query_place_id=ChIJLWP_airnaC4RtZAvVuAYUEQ","Bengkel Sepeda Motor"
"Bengkel motor nanda puspita . Kampungci hanja",,,,,,,,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20nanda%20puspita%20.%20Kampungci%20hanja&query_place_id=ChIJye0veQDnaC4R7HMvEWUo08o",
"Bengkel motor ljm2",,,"4M4C+GG7, Jl. Giri Raya","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20ljm2&query_place_id=ChIJAeHheADdaC4ROuiq9PqL7lc","Bengkel Sepeda Motor"
"Bengkel motor",,,"4J4W+G5X DS cintamulya, Dsn Cibungur Gg.Persib, RT.15/RW.5","Kota Bandung","Jawa Barat","ID",,"+62 896-3004-4845","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor&query_place_id=ChIJ5XjYDwDnaC4RdrwOmJMOwHY","Bengkel Sepeda Motor"
"Bengkel motor I.M.S",,,"Jl. Negla pojok No.51Isola","Kota Bandung","Jawa Barat","ID",,"+62 838-4140-7929","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20I.M.S&query_place_id=ChIJoSDFGQDnaC4RmVvg3pVe7JY","Bengkel Sepeda Motor"
"Bengkel Motor DMT",,,"Jl. Jurang No.31-37","Kota Bandung","Jawa Barat","ID",,"","Kantor Perusahaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20DMT&query_place_id=ChIJYZcZnF_maC4R5b92xM0EBEQ","Kantor Perusahaan"
"Bengkel Vespa MSRT","5","3","Jl. Sukahaji","Kota Bandung","Jawa Barat","ID",,"+62 856-2464-6895","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Vespa%20MSRT&query_place_id=ChIJH_8bVrLnaC4RcCCD3Z9yHu8","Bengkel Motor Skuter"
"bengkel motor mamang",,,"Jl. Sadang Serang No.29","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20mamang&query_place_id=ChIJE4wiPgDnaC4RjslsUzEyXus","Bengkel Sepeda Motor"
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5","5","Jl. Khp Hasan Mustopa No.46","Kota Bandung","Jawa Barat","ID",,"+62 895-6330-77543","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DISINIADASETANG%20(Jasa%20Roll%20Pipa%20%26%20Bengkel%20Motor%20Custom%20)&query_place_id=ChIJBUEqHgDnaC4RXovIASM4DYQ","Bengkel Sepeda Motor"
"Bengkel motor trail mang Cece",,,"4J5G+C46","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20trail%20mang%20Cece&query_place_id=ChIJMax_PwDnaC4RPT_loG2Uz2s","Bengkel Sepeda Motor"
"TAMBAL BAN TUBLES & BENGKEL MOTOR 24 JAM",,,"4J2P+MCF","Kota Bandung","Jawa Barat","ID",,"+62 831-3390-3669","Bengkel tambal ban",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TAMBAL%20BAN%20TUBLES%20%26%20BENGKEL%20MOTOR%2024%20JAM&query_place_id=ChIJsU5IAgDnaC4R0s4KzgciN3Q","Bengkel tambal ban"
"Bengkel Motor Service Motor",,,"4M4C+436, Jl. Cikadut","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Service%20Motor&query_place_id=ChIJYVR9SX3daC4RzMqpJ3qUJsI","Bengkel Mobil"
"Helen Motor","4.2","12","Jl. Terusan Pak Gatot Raya No.13","Kota Bandung","Jawa Barat","ID",,"+62 821-1607-6099","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Helen%20Motor&query_place_id=ChIJmdzW7LzmaC4RqWqq7mYcVWo","Bengkel Sepeda Motor"
"Bengkel Motor Mandiri","5","6","Jl. Cihampelas No.93B","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Mandiri&query_place_id=ChIJKTovnETmaC4RGs01jhDQJeY","Bengkel Sepeda Motor"
"Toko Aki Priangan Battery III","4.9","137","Jl. Cemara No.7","Kota Bandung","Jawa Barat","ID",,"+62 851-4774-8474","Toko Aki Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Toko%20Aki%20Priangan%20Battery%20III&query_place_id=ChIJsSJ--fTmaC4RLxaC8D7ESWQ","Toko Aki Mobil"
"Bengkel motor dani","5","2","Jl. Sukagalih II No.46","Kota Bandung","Jawa Barat","ID",,"+62 831-9539-2479","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20dani&query_place_id=ChIJdZY8H7_naC4RjDmGyYjS49c","Bengkel Sepeda Motor"
"Bengkel Motor A Agus",,,"Jl. Rereongan Sarupi No.91","Kota Bandung","Jawa Barat","ID",,"+62 831-7710-5099","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20A%20Agus&query_place_id=ChIJe8gFDADnaC4RXgFvc3YSfqE","Bengkel Sepeda Motor"
"Bengkel Motor Tune Up","4.3","3","Jl. Kiputih No 12.Dalam RT 07/05","Kota Bandung","Jawa Barat","ID",,"+62 858-8453-3679","Bengkel Tune Up",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Tune%20Up&query_place_id=ChIJxQ9W6efmaC4Rs0gkmu1wF38","Bengkel Tune Up"
"Yonk Jaya Motor","4.4","1021","Jl. A. Yani No.358","Kota Bandung","Jawa Barat","ID","https://wa.me/+6282219909925","+62 822-1990-9925","Toko Suku Cadang Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yonk%20Jaya%20Motor&query_place_id=ChIJtQjYpJTnaC4RPfOiDKpLUeU","Toko Suku Cadang Motor"
"RK motor Bengkel Motor","4.9","18","Jl. Kawaluyaan","Kota Bandung","Jawa Barat","ID",,"+62 882-2432-6779","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RK%20motor%20Bengkel%20Motor&query_place_id=ChIJoSgt6HTpaC4RPb5bpo2IxFo","Bengkel Sepeda Motor"
"Bengkel motor putra mandiri","3","10","Jl. Terusan Pak Gatot Raya No.29","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20putra%20mandiri&query_place_id=ChIJR19yOQDnaC4ROgsQbZY7Sqs","Bengkel Sepeda Motor"
"Press Body Dyan Motor","4.9","273",,"Kota Bandung","Jawa Barat","ID",,"+62 817-2314-115","Bengkel Sepeda Motor","Bengkel Ketok Magic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Press%20Body%20Dyan%20Motor&query_place_id=ChIJB_qlCKbCaC4RFB-6c7tnNqY","Bengkel Sepeda Motor"
"Semesta Artha Motor","5","311","Ruko Kota Kembang Permai, Jl. Jakarta No.20-22 Kav 37","Kota Bandung","Jawa Barat","ID","https://www.tokopedia.com/semestaarthamotor","+62 812-2200-2909","Bengkel Sepeda Motor","Toko Ban",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Semesta%20Artha%20Motor&query_place_id=ChIJFdtskE7naC4RrUtIPjNfXYU","Bengkel Sepeda Motor"
"Yr jaya motor","4.7","49","Jl. PSM","Kota Bandung","Jawa Barat","ID",,"+62 822-1939-3221","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yr%20jaya%20motor&query_place_id=ChIJT3RxqAvoaC4RpBH6SToaZs8","Bengkel Sepeda Motor"
"Bengkel motor Iwan sutisna",,,"Jl. Negla pojok No.51","Kota Bandung","Jawa Barat","ID",,"+62 838-4140-7929","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20Iwan%20sutisna&query_place_id=ChIJUQ8MWQDnaC4RJtP-sCsOW58","Bengkel Sepeda Motor"
"Cijagra Motor","4.2","152","Jl. Cijagra No.31","Kota Bandung","Jawa Barat","ID",,"+62 22 7305772","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cijagra%20Motor&query_place_id=ChIJAShFLmHoaC4R47KOAaekNs8","Bengkel Sepeda Motor"
"Akhtar motor 24 jam","4.4","59","Jalan veteran 105, Jl. Veteran No.105","Kota Bandung","Jawa Barat","ID",,"+62 822-1879-7468","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Akhtar%20motor%2024%20jam&query_place_id=ChIJ5QbWGN3naC4Ra8GBwuo7SWI","Bengkel Sepeda Motor"
"Berkah Jaya Motor","4.7","53","Gg. Nangkasuni No.17","Kota Bandung","Jawa Barat","ID","https://m.youtube.com/channel/UCL7GEytjg8hckCnUdSV_06A","+62 812-2107-6772","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Berkah%20Jaya%20Motor&query_place_id=ChIJl6OPDHjnaC4Rs80IfqOPn5U","Bengkel Sepeda Motor"
"Yong's Motor","4.6","160","Jl. Lengkong Besar No.65","Kota Bandung","Jawa Barat","ID","https://instagram.com/mgerry28?utm_medium=copy_link","+62 812-2032-828","Bengkel Sepeda Motor","Bengkel Tune Up","Bengkel Mesin",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yong's%20Motor&query_place_id=ChIJs2kUTinmaC4RhbueGrAC2aE","Bengkel Sepeda Motor"
"Bengkel motor cjr bandung (offline)","3.8","84","Jl. Gatot Subroto No.204","Kota Bandung","Jawa Barat","ID",,"+62 896-6942-6565","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20cjr%20bandung%20(offline)&query_place_id=ChIJf8Y69G_paC4R90KZrW0YX_o","Bengkel Sepeda Motor"
