"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Service audio mobil,service berbagai speaker","5","1","Jl jatihandap 118, gang aliyaqub No.rt05rw05","Kota Bandung","Jawa Barat","ID",,"+62 821-2909-3116","Toko Audio Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Service%20audio%20mobil%2Cservice%20berbagai%20speaker&query_place_id=ChIJx61hDhLnaC4RfYZLy6EUGeI","Toko Audio Mobil"
"Toko Victory Electronic","4.6","103","Jl. Moch. Toha No.80 A","Kota Bandung","Jawa Barat","ID",,"+62 896-0895-1582","Toko Elektronik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Toko%20Victory%20Electronic&query_place_id=ChIJTXDDgpDoaC4RlogKYUYOxHA","Toko Elektronik"
"Audio mobil dan instalasi audio mobil bandung","4.5","2","Komplek mutiara bandung asri No.A5, RT.04/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 821-1746-4987","Toko Audio Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Audio%20mobil%20dan%20instalasi%20audio%20mobil%20bandung&query_place_id=ChIJdVSVYrDdaC4RwIpLQLcoap0","Toko Audio Mobil"
"Bengkel Service Radiator",,,"Jl. Jatihandap Timur No.4","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Service%20Radiator&query_place_id=ChIJ_58jZADnaC4RThFB3IC3V9o","Bengkel Mobil"
"Toko Laris Elektronik","4.4","228","Jl. Sukajadi No.104","Kota Bandung","Jawa Barat","ID","https://wa.me/6281222348886","+62 812-2234-8886","Toko Elektronik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Toko%20Laris%20Elektronik&query_place_id=ChIJOf6Fu2DmaC4RV5hTUDj9Cu0","Toko Elektronik"
"Bengkel Las Listrik Dadan",,,"4M67+4RJ, Jl. Sasak Batu","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Las%20Listrik%20Dadan&query_place_id=ChIJM3J8QwDnaC4RRnl3cIeRsEY","Bengkel Sepeda Motor"
"Bengkel las listrik Dadan","5","1","4M67+4RJ, Jl. Jatihandap Timur No.10A","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20las%20listrik%20Dadan&query_place_id=ChIJ4T5yBADnaC4RKAlTQdOPDy4","Bengkel Sepeda Motor"
"Auto Brilliant Body & Paint","4.7","241","Jl. Cisaranten Kulon No.177","Kota Bandung","Jawa Barat","ID",,"+62 22 63750171","Bengkel Perbaikan Bodi Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Auto%20Brilliant%20Body%20%26%20Paint&query_place_id=ChIJIz8fBEPoaC4RegpNLzLWmGI","Bengkel Perbaikan Bodi Mobil"
"Alat Soundsystem. sparepart Electronik murah & servic alat alat audio .Toko BSP Elctronik","4.7","34","Pasar Cikapundung, Lantai 2.Blok R.06, Jl. ABC","Kota Bandung","Jawa Barat","ID",,"+62 853-1919-7847","Toko Elektronik","Toko Audio Rumah",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alat%20Soundsystem.%20sparepart%20Electronik%20murah%20%26%20servic%20alat%20alat%20audio%20.Toko%20BSP%20Elctronik&query_place_id=ChIJHVbXWiXmaC4R0sP46AyZTeE","Toko Elektronik"
"Ketok Magic Sedyo Utomo","4.7","42","Jl. AH. Nasution Gg. Andir Wetan No.8","Kota Bandung","Jawa Barat","ID",,"+62 813-2056-7702","Bengkel Ketok Magic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ketok%20Magic%20Sedyo%20Utomo&query_place_id=ChIJnazwhC7daC4RF4wfZxjnNt4","Bengkel Ketok Magic"
"Bengkel las ketok cat duco",,,"bengkel, Jl. AH. Nasution Jl. Arcamanik No.303","Kota Bandung","Jawa Barat","ID",,"+62 878-0144-3838","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20las%20ketok%20cat%20duco&query_place_id=ChIJ8QO5C-jdaC4RnmLJzXABY-U","Bengkel Mobil"
"Servis radiator Kurnia Blora","4.9","543","Jl. Khp Hasan Mustopa No.141","Kota Bandung","Jawa Barat","ID","https://serviceradiatorkurnia.biz.id/","+62 812-2280-0376","Bengkel Radiator Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Servis%20radiator%20Kurnia%20Blora&query_place_id=ChIJXVsvzcTnaC4RJm4SdEhabeI","Bengkel Radiator Mobil"
"Bengkel las knalpot","4","1","Jl. AH. Nasution No.150","Kota Bandung","Jawa Barat","ID",,"+62 822-1169-0820","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20las%20knalpot&query_place_id=ChIJBfmP2hDdaC4RqrW1dluV3QM","Bengkel Mobil"
"ASEP KNALPOT ( AK EXHAUST SYSTEM )","4.4","103","Jl. Moch Syahri No.1","Kota Bandung","Jawa Barat","ID",,"+62 821-1557-0278","Bengkel Mesin",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ASEP%20KNALPOT%20(%20AK%20EXHAUST%20SYSTEM%20)&query_place_id=ChIJjSe0g4LdaC4RglrRlSDV6ZA","Bengkel Mesin"
"Bengkel mobil 24jam bandung","4","42","Jl. Cikutra No.203","Kota Bandung","Jawa Barat","ID","https://nalaktak-injection.com/","+62 821-3011-1207","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20mobil%2024jam%20bandung&query_place_id=ChIJ8xFyNaLnaC4RnCe51Hvz2_I","Bengkel Mobil"
"Authorized Bodi & Cat Wicaksana - Bandung","4.9","913","Jl. Soekarno-Hatta No.849","Kota Bandung","Jawa Barat","ID",,"+62 22 63723458","Bengkel Perbaikan Bodi Mobil","Bengkel Perawatan Bodi Mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Authorized%20Bodi%20%26%20Cat%20Wicaksana%20-%20Bandung&query_place_id=ChIJP_LStNrCaC4R1J0C1wNn4Rg","Bengkel Perbaikan Bodi Mobil"
"Las ketok mobil dan cat mobil panggilan",,,"Jl. Babakan Teureup","Kota Bandung","Jawa Barat","ID",,"+62 857-2439-0230","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Las%20ketok%20mobil%20dan%20cat%20mobil%20panggilan&query_place_id=ChIJTSc1K8_daC4RcSuzngo_z54","Bengkel Mobil"
"Bengkel cat dan salon mobil bandung di (Denis Bodyrepair))","4.9","72","Jl. Cijambe No.1a","Kota Bandung","Jawa Barat","ID",,"+62 812-2285-0611","Bengkel Perbaikan Bodi Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20cat%20dan%20salon%20mobil%20bandung%20di%20(Denis%20Bodyrepair))&query_place_id=ChIJVRQz0THpaC4RP3dSJvz0grA","Bengkel Perbaikan Bodi Mobil"
"Bengkel Cat Mobil & Las Mobil Bandung","4.7","18","Jl. Pawenang II No.3","Kota Bandung","Jawa Barat","ID","https://bengkelcatlasmobilbdg.blogspot.com/","+62 895-3740-75521","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Cat%20Mobil%20%26%20Las%20Mobil%20Bandung&query_place_id=ChIJx6QZCy3daC4RiInUNQUwU-4","Bengkel Mobil"
"EasyWare Electronics","4.5","205","Jalan Ahmad Yani. 238 Jaya Plaza, Lantai Dasar Blok F 02-03","Kota Bandung","Jawa Barat","ID",,"+62 899-0862-025","Toko Elektronik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EasyWare%20Electronics&query_place_id=ChIJv9jpD9LnaC4Rs30zeSJN3OM","Toko Elektronik"
